,precision,recall,f1-score,support
0,0.75,0.5925925925925926,0.6620689655172414,81.0
1,0.8518518518518519,0.9452054794520548,0.8961038961038961,73.0
2,0.7721518987341772,0.8356164383561644,0.8026315789473685,73.0
3,0.7631578947368421,0.7945205479452054,0.7785234899328859,73.0
accuracy,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.7866666666666666
macro avg,0.7842904113307178,0.7919837645865043,0.784831982625348,300.0
weighted avg,0.7833760003618987,0.7866666666666666,0.7815583021691318,300.0
